,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,PACKAGE,START_DATE,END_DATE,CURENT_FLAG
0,100,Steven,King,SKING,5151234567,17-06-2003,AD_PRES,24000, - ,501,90,288000,19-12-2022 863595,31-12-9999 000000,Y
1,101,Neena,Kochhar,NKOCHHAR,5151234568,21-09-2005,AD_VP,17000, - ,100,90,204000,19-12-2022 863595,31-12-9999 000000,Y
2,102,Lex,De Haan,LDEHAAN,5151234569,13-01-2001,AD_VP,17000, - ,100,90,204000,19-12-2022 863595,31-12-9999 000000,Y
3,103,Alexander,Hunold,AHUNOLD,5904234567,03-01-2006,IT_PROG,9000, - ,102,60,108000,19-12-2022 863595,31-12-9999 000000,Y
4,104,Bruce,Ernst,BERNST,5904234568,21-05-2007,IT_PROG,123, - ,103,60,1476,19-12-2022 848657,19-12-2022 493117,N
5,104,Bruce,Ernst,BERNST,5904234568,21-05-2007,IT_PROG,6000, - ,103,60,72000,19-12-2022 863595,19-12-2022 848657,N
6,104,Bruce,Ernst,BERNST,5904234568,21-05-2007,IT_PROG,6000, - ,103,60,72000,19-12-2022 493117,31-12-9999 000000,Y
7,105,David,Austin,DAUSTIN,5904234569,25-06-2005,IT_PROG,4800, - ,103,60,57600,19-12-2022 863595,31-12-9999 000000,Y
8,106,Valli,Pataballa,VPATABAL,5904234560,05-02-2006,IT_PROG,4800, - ,103,60,57600,19-12-2022 863595,31-12-9999 000000,Y
9,107,Diana,Lorentz,DLORENTZ,5904235567,07-02-2007,IT_PROG,4200, - ,103,60,50400,19-12-2022 863595,31-12-9999 000000,Y
10,108,Nancy,Greenberg,NGREENBE,5151244569,17-08-2002,FI_MGR,12008, - ,101,100,144096,19-12-2022 863595,31-12-9999 000000,Y
11,109,Daniel,Faviet,DFAVIET,5151244169,16-08-2002,FI_ACCOUNT,9000, - ,108,100,108000,19-12-2022 863595,31-12-9999 000000,Y
12,110,John,Chen,JCHEN,5151244269,28-09-2005,FI_ACCOUNT,8200, - ,108,100,98400,19-12-2022 863595,31-12-9999 000000,Y
13,111,Ismael,Sciarra,ISCIARRA,5151244369,30-09-2005,FI_ACCOUNT,7700, - ,108,100,92400,19-12-2022 863595,31-12-9999 000000,Y
