EMPLOYEE_ID	FIRST_NAME	LAST_NAME	EMAIL	PHONE_NUMBER	HIRE_DATE	JOB_ID	SALARY	COMMISSION_PCT	MANAGER_ID	DEPARTMENT_ID	PACKAGE
198	Donald	OConnell	DOCONNEL	6505079833	21-06-2007	SH_CLERK	2600	 - 	124	50	31200
199	Douglas1	Grant	DGRANT	6505079844	13-01-2008	SH_CLERK	2600	 - 	124	50	31200
200	Jennifer	Whalen	JWHALEN	5151234444	17-09-2003	AD_ASST	4400	 - 	101	10	52800
201	Michael	Hartstein	MHARTSTE	5151235555	17-02-2004	MK_MAN	13000	 - 	100	20	156000
202	Pat	Fay	PFAY	6031236666	17-08-2005	MK_REP	6000	 - 	201	20	72000
203	Susan	Mavris	SMAVRIS	5151237777		HR_REP	6500	 - 	101	40	78000
204	Hermann	Baer	HBAER	5151238888		PR_REP	10000	 - 	101	70	120000
205	Shelley	Higgins	SHIGGINS	5151238080		AC_MGR	12008	 - 	101	110	144096
206	William	Gietz	WGIETZ	5151238181		AC_ACCOUNT	8300	 - 	205	110	99600
100	Steven	King	SKING	5151234567		AD_PRES	24000	 - 	504	90	288000
101	Neena	Kochhar	NKOCHHAR	5151234568		AD_VP	17000	 - 	100	90	204000
102	Lex	De Haan	LDEHAAN	5151234569		AD_VP	17000	 - 	100	90	204000
103	Alexander	Hunold	AHUNOLD	5904234567		IT_PROG	9000	 - 	102	60	108000
104	Bruce	Ernst	BERNST	5904234568		IT_PROG	6000	 - 	103	60	72000
105	David	Austin	DAUSTIN	5904234569		IT_PROG	4800	 - 	103	60	57600
106	Valli	Pataballa	VPATABAL	5904234560		IT_PROG	4800	 - 	103	60	57600
107	Diana	Lorentz	DLORENTZ	5904235567		IT_PROG	4200	 - 	103	60	50400
108	Nancy	Greenberg	NGREENBE	5151244569		FI_MGR	12008	 - 	101	100	144096
109	Daniel	Faviet	DFAVIET	5151244169		FI_ACCOUNT	9000	 - 	108	100	108000
110	John	Chen	JCHEN	5151244269		FI_ACCOUNT	8200	 - 	108	100	98400
111	Ismael	Sciarra	ISCIARRA	5151244369		FI_ACCOUNT	7700	 - 	108	100	92400
112	Jose Manuel	Urman	JMURMAN	5151244469		FI_ACCOUNT	7800	 - 	108	100	93600
113	Luis	Popp	LPOPP	5151244567		FI_ACCOUNT	6900	 - 	108	100	82800
114	Den	Raphaely	DRAPHEAL	5151274561		PU_MAN	11000	 - 	100	30	132000
115	Alexander	Khoo	AKHOO	5151274562		PU_CLERK	3100	 - 	114	30	37200
116	Shelli	Baida	SBAIDA	5151274563		PU_CLERK	2900	 - 	114	30	34800
117	Sigal	Tobias	STOBIAS	5151274564		PU_CLERK	2800	 - 	114	30	33600
118	Guy	Himuro	GHIMURO	5151274565		PU_CLERK	2600	 - 	114	30	31200
119	Karen	Colmenares	KCOLMENA	5151274566		PU_CLERK	2500	 - 	114	30	30000
120	Matthew	Weiss	MWEISS	6501231234		ST_MAN	8000	 - 	100	50	96000
121	Adam	Fripp	AFRIPP	6501232234		ST_MAN	8200	 - 	100	50	98400
122	Payam	Kaufling	PKAUFLIN	6501233234		ST_MAN	7900	 - 	100	50	94800
123	Shanta	Vollman	SVOLLMAN	6501234234		ST_MAN	6500	 - 	100	50	78000
124	Kevin	Mourgos	KMOURGOS	6501235234		ST_MAN	5800	 - 	100	50	69600
125	Julia	Nayer	JNAYER	6501241214		ST_CLERK	3200	 - 	120	50	38400
126	Irene	Mikkilineni	IMIKKILI	6501241224		ST_CLERK	2700	 - 	120	50	32400
127	James	Landry	JLANDRY	6501241334		ST_CLERK	2400	 - 	120	50	28800
128	Steven	Markle	SMARKLE	6501241434		ST_CLERK	2200	 - 	120	50	26400
129	Laura	Bissot	LBISSOT	6501245234		ST_CLERK	3300	 - 	121	50	39600
130	Mozhe	Atkinson	MATKINSO	6501246234		ST_CLERK	2800	 - 	121	50	33600
131	James	Marlow	JAMRLOW	6501247234		ST_CLERK	2500	 - 	121	50	30000
132	TJ	Olson	TJOLSON	6501248234		ST_CLERK	2100	 - 	121	50	25200
133	Jason	Mallin	JMALLIN	6501271934		ST_CLERK	3300	 - 	122	50	39600
134	Michael	Rogers	MROGERS	6501271834		ST_CLERK	2900	 - 	122	50	34800
135	Ki	Gee	KGEE	6501271734		ST_CLERK	2400	 - 	122	50	28800
136	Hazel	Philtanker	HPHILTAN	6501271634		ST_CLERK	2200	 - 	122	50	26400
137	Renske	Ladwig	RLADWIG	6501211234		ST_CLERK	3600	 - 	123	50	43200
138	Stephen	Stiles	SSTILES	6501212034		ST_CLERK	3200	 - 	123	50	38400
139	John	Seo	JSEO	6501212019		ST_CLERK	2700	 - 	123	50	32400
140	Joshua	Patel	JPATEL	6501211834		ST_CLERK	2500	 - 	123	50	30000
